condition,polarity,metric,estimate,diagnostic_signed_estimate,repeat_ci_low,repeat_ci_high,analysis_ci_low,analysis_ci_high,diagnostic_analysis_ci_low,diagnostic_analysis_ci_high,passive_resolution_threshold,passive_resolution_basis,resolved_halfcycle_fraction,model_scale_sensitivity_low,model_scale_sensitivity_high,unit,evidence_tier,definition,n_files,scan_source
5mM_Mn_nitrate_in_water_10kHz,positive,peak_halfcycle_average_flow_per_s,5.826208591310794e+17,5.826208591310794e+17,5.762082432822561e+17,5.984336306321152e+17,5.7597950890427834e+17,5.985138184688303e+17,5.7597950890427834e+17,5.985138184688303e+17,1.691117800666318e+17,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.18148487626031165,4.8253979977257824e+17,1.0123114557092183e+18,elementary_charge_equivalents_per_s,exploratory_transferred_model,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_10kHz,positive,whole_record_average_flow_per_s,4.544214036426597e+16,4.544214036426597e+16,4.3083405798237e+16,4.59075207546032e+16,4.325318634383364e+16,4.590502402150464e+16,4.325318634383364e+16,4.590502402150464e+16,0.0,resolved_fraction_only_no_same_frequency_holdout,0.18148487626031165,3.742157128057073e+16,7.832975956673549e+16,elementary_charge_equivalents_per_s,exploratory_transferred_model,signed background-subtracted sum divided by full record duration,64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_10kHz,positive,record_total_charge_nC,72808.71960683714,72808.71960683714,69678.10484071125,73554.36561028176,69301.51377919874,73550.3652718591,69301.51377919874,73550.3652718591,0.0,resolved_fraction_only_no_same_frequency_holdout,0.18148487626031165,59957.93043139497,125502.22008578877,nC,exploratory_transferred_model,signed background-subtracted charge summed over the full record,64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_20kHz,negative,peak_halfcycle_charge_nC,614.1205691702866,614.1205691702866,596.2546764862839,641.5218133670123,596.2721780243085,640.3162313197869,596.2721780243085,640.3162313197869,102.1089931462297,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.7968421380125692,513.3984200656636,1064.9388981806142,nC,exploratory_model_dependent,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_20kHz,negative,peak_halfcycle_average_flow_per_s,8.687692517013396e+17,8.687692517013396e+17,8.459200372808716e+17,9.032319704488187e+17,8.438527095943854e+17,9.028162661441492e+17,8.438527095943854e+17,9.028162661441492e+17,1.592509681858991e+17,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.7968421380125692,7.261735844589325e+17,1.5098499242089533e+18,elementary_charge_equivalents_per_s,exploratory_model_dependent,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_20kHz,negative,whole_record_average_flow_per_s,1.4353177831673408e+17,1.4353177831673408e+17,1.4187827787747304e+17,1.4570976524087152e+17,1.4173104887156125e+17,1.456510181198299e+17,1.4173104887156125e+17,1.456510181198299e+17,2.169126391401524e+16,out_of_sample_90_percent_same_statistic,0.7968421380125692,1.1990497345155494e+17,2.4841612211421632e+17,elementary_charge_equivalents_per_s,exploratory_model_dependent,signed background-subtracted sum divided by full record duration,64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_20kHz,negative,record_total_charge_nC,229970.7918324988,229970.7918324988,227658.98616981454,233182.9066824569,227085.61071623993,233366.29951251522,227085.61071623993,233366.29951251522,34754.37423443536,out_of_sample_90_percent_same_statistic,0.7968421380125692,192115.23756404239,398019.5394813453,nC,exploratory_model_dependent,signed background-subtracted charge summed over the full record,64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_20kHz,positive,peak_halfcycle_charge_nC,154.51245122578382,154.51245122578382,140.71314232678614,172.73705965809282,140.69337394493002,172.66545053350916,140.69337394493002,172.66545053350916,80.84927550577656,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.7447308425386729,125.01994497079806,271.68341367907317,nC,exploratory_model_dependent,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_20kHz,positive,peak_halfcycle_average_flow_per_s,2.0683146737249645e+17,2.0683146737249645e+17,1.8809729863514163e+17,2.3323913859390128e+17,1.8790318084684294e+17,2.3336405638290106e+17,1.8790318084684294e+17,2.3336405638290106e+17,1.1237163308255933e+17,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.7447308425386729,1.6890401669801363e+17,3.694213654395407e+17,elementary_charge_equivalents_per_s,exploratory_model_dependent,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_20kHz,positive,whole_record_average_flow_per_s,1.3965765747660922e+17,1.3965765747660922e+17,1.3788786129011346e+17,1.4136451063821904e+17,1.3776864985898147e+17,1.413932036540139e+17,1.3776864985898147e+17,1.413932036540139e+17,2.536793821089919e+16,out_of_sample_90_percent_same_statistic,0.7447308425386729,1.1665861194996794e+17,2.4187832407874038e+17,elementary_charge_equivalents_per_s,exploratory_model_dependent,signed background-subtracted sum divided by full record duration,64,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_20kHz,positive,record_total_charge_nC,223763.56268988858,223763.56268988858,221546.15853993758,226513.50623042686,220736.93971692686,226544.30527776945,220736.93971692686,226544.30527776945,40645.2487799925,out_of_sample_90_percent_same_statistic,0.7447308425386729,186913.8227007287,387544.489226331,nC,exploratory_model_dependent,signed background-subtracted charge summed over the full record,64,5mM_Mn_nitrate_in_water_20kHz
BMIM_nitrate_4kHz,negative,peak_halfcycle_charge_nC,424.4836256166052,424.4836256166052,421.6397046993544,426.97101949699316,414.23589003305665,426.52490020581195,414.23589003305665,426.52490020581195,60.35403515416007,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.13085290827740492,380.6967871493008,1222.982120179841,nC,exploratory_transferred_model,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",64,BMIM_nitrate_20kHz
BMIM_nitrate_4kHz,negative,peak_halfcycle_average_flow_per_s,5.349909157204334e+17,5.349909157204334e+17,5.308362480500763e+17,5.379939558488725e+17,5.218926272695538e+17,5.37410845253517e+17,5.218926272695538e+17,5.37410845253517e+17,9.25969481979658e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.13085290827740492,4.795319930375408e+17,1.541424756333082e+18,elementary_charge_equivalents_per_s,exploratory_transferred_model,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",64,BMIM_nitrate_20kHz
BMIM_nitrate_4kHz,negative,whole_record_average_flow_per_s,2.577141363335664e+16,2.577141363335664e+16,2.567522010480568e+16,2.590059780351329e+16,2.5183415128336444e+16,2.5886991360766576e+16,2.5183415128336444e+16,2.5886991360766576e+16,0.0,resolved_fraction_only_no_same_frequency_holdout,0.13085290827740492,2.3122662915497224e+16,7.441322078699622e+16,elementary_charge_equivalents_per_s,exploratory_transferred_model,signed background-subtracted sum divided by full record duration,64,BMIM_nitrate_20kHz
BMIM_nitrate_4kHz,negative,record_total_charge_nC,41291.70884253513,41291.70884253513,41137.58477196722,41498.69147907427,40349.60052769615,41476.890840573295,40349.60052769615,41476.890840573295,0.0,resolved_fraction_only_no_same_frequency_holdout,0.13085290827740492,37047.80336671193,119227.02768601403,nC,exploratory_transferred_model,signed background-subtracted charge summed over the full record,64,BMIM_nitrate_20kHz
BMIM_nitrate_4kHz,positive,peak_halfcycle_charge_nC,128.24328951135936,128.24328951135936,123.83004914440167,130.90641290214413,122.32820548279292,130.58778040007758,122.32820548279292,130.58778040007758,76.1208648578595,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.18992749279420063,114.07710614438571,368.83449645565395,nC,exploratory_transferred_model,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",64,BMIM_nitrate_20kHz
BMIM_nitrate_4kHz,positive,peak_halfcycle_average_flow_per_s,2.512746370147767e+17,2.512746370147767e+17,2.4290548783171507e+17,2.577147388534859e+17,2.4012982803037203e+17,2.569338467755563e+17,2.4012982803037203e+17,2.569338467755563e+17,1.5137581438466163e+17,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.18992749279420063,2.2416317152437664e+17,7.23338798029131e+17,elementary_charge_equivalents_per_s,exploratory_transferred_model,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",64,BMIM_nitrate_20kHz
BMIM_nitrate_4kHz,positive,whole_record_average_flow_per_s,2.370646318367186e+16,2.370646318367186e+16,2.354806529174977e+16,2.387559535207522e+16,2.3119448100112084e+16,2.381499072530849e+16,2.3119448100112084e+16,2.381499072530849e+16,0.0,resolved_fraction_only_no_same_frequency_holdout,0.18992749279420063,2.1266857366427324e+16,6.842200874091989e+16,elementary_charge_equivalents_per_s,exploratory_transferred_model,signed background-subtracted sum divided by full record duration,64,BMIM_nitrate_20kHz
BMIM_nitrate_4kHz,positive,record_total_charge_nC,37983.18514431298,37983.18514431298,37731.161785812656,38244.495051428545,37042.652495954346,38157.07112955266,37042.652495954346,38157.07112955266,0.0,resolved_fraction_only_no_same_frequency_holdout,0.18992749279420063,34074.37771413648,109627.73340825376,nC,exploratory_transferred_model,signed background-subtracted charge summed over the full record,64,BMIM_nitrate_20kHz
BMIM_nitrate_10kHz,negative,peak_halfcycle_charge_nC,418.2555760049446,418.2555760049446,417.22791147907833,420.4082556118117,408.60066009893126,420.0670524642362,408.60066009893126,420.0670524642362,60.35403515416007,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.27538169417964814,374.27875317482324,1189.5887335305156,nC,exploratory_transferred_model,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",64,BMIM_nitrate_20kHz
BMIM_nitrate_10kHz,negative,peak_halfcycle_average_flow_per_s,5.509362292435858e+17,5.509362292435858e+17,5.490843930833777e+17,5.5322064989224134e+17,5.3814128764504154e+17,5.529873614790216e+17,5.3814128764504154e+17,5.529873614790216e+17,9.25969481979658e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.27538169417964814,4.926232303580264e+17,1.5665721810941908e+18,elementary_charge_equivalents_per_s,exploratory_transferred_model,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",64,BMIM_nitrate_20kHz
BMIM_nitrate_10kHz,negative,whole_record_average_flow_per_s,5.228471334049858e+16,5.228471334049858e+16,5.220063405286906e+16,5.242885372557861e+16,5.102682073225807e+16,5.2423908798379176e+16,5.102682073225807e+16,5.2423908798379176e+16,0.0,resolved_fraction_only_no_same_frequency_holdout,0.27538169417964814,4.67842164689226e+16,1.4873002363902973e+17,elementary_charge_equivalents_per_s,exploratory_transferred_model,signed background-subtracted sum divided by full record duration,64,BMIM_nitrate_20kHz
BMIM_nitrate_10kHz,negative,record_total_charge_nC,83772.08914053997,83772.08914053997,83627.03922211495,83996.04047894746,81756.65700035593,83995.11215358764,81756.65700035593,83995.11215358764,0.0,resolved_fraction_only_no_same_frequency_holdout,0.27538169417964814,74959.03299462421,238299.57175097722,nC,exploratory_transferred_model,signed background-subtracted charge summed over the full record,64,BMIM_nitrate_20kHz
BMIM_nitrate_10kHz,positive,peak_halfcycle_charge_nC,439.1573623196458,439.1573623196458,437.9422812289221,441.2126689308901,429.20554039708884,440.54942118601997,429.20554039708884,440.54942118601997,76.1208648578595,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.2217833247555327,392.80532036004917,1248.4231868397621,nC,exploratory_transferred_model,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",64,BMIM_nitrate_20kHz
BMIM_nitrate_10kHz,positive,peak_halfcycle_average_flow_per_s,5.74609262597599e+17,5.74609262597599e+17,5.711592656425116e+17,5.768286768717855e+17,5.606161695261955e+17,5.763687729817633e+17,5.606161695261955e+17,5.763687729817633e+17,1.5672462650567315e+17,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.2217833247555327,5.138034659363767e+17,1.6333197221205094e+18,elementary_charge_equivalents_per_s,exploratory_transferred_model,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",64,BMIM_nitrate_20kHz
BMIM_nitrate_10kHz,positive,whole_record_average_flow_per_s,5.024935176283947e+16,5.024935176283947e+16,4.940544683154788e+16,5.132633095969618e+16,4.860584374561277e+16,5.123125047493323e+16,4.860584374561277e+16,5.123125047493323e+16,0.0,resolved_fraction_only_no_same_frequency_holdout,0.2217833247555327,4.492484946249137e+16,1.4403958585186454e+17,elementary_charge_equivalents_per_s,exploratory_transferred_model,signed background-subtracted sum divided by full record duration,64,BMIM_nitrate_20kHz
BMIM_nitrate_10kHz,positive,record_total_charge_nC,80510.97359408028,80510.97359408028,78979.47172561273,82236.54100216826,77877.69722464356,82084.20028274582,77877.69722464356,82084.20028274582,0.0,resolved_fraction_only_no_same_frequency_holdout,0.2217833247555327,71979.90107143005,230784.41584191335,nC,exploratory_transferred_model,signed background-subtracted charge summed over the full record,64,BMIM_nitrate_20kHz
BMIM_nitrate_20kHz,negative,peak_halfcycle_charge_nC,477.506610727923,477.506610727923,475.56799129958443,479.19143118607826,466.6755226388218,479.43761406740055,466.6755226388218,479.43761406740055,60.35403515416007,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.9751957801808251,427.7365614227498,1356.347252961645,nC,supported_provisional_model_dependent,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",64,BMIM_nitrate_20kHz
BMIM_nitrate_20kHz,negative,peak_halfcycle_average_flow_per_s,6.70349941616524e+17,6.70349941616524e+17,6.680012030531249e+17,6.719357519646057e+17,6.544638119759538e+17,6.721921084322676e+17,6.544638119759538e+17,6.721921084322676e+17,9.25969481979658e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.9751957801808251,6.003204412287036e+17,1.9033002893688824e+18,elementary_charge_equivalents_per_s,supported_provisional_model_dependent,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",64,BMIM_nitrate_20kHz
BMIM_nitrate_20kHz,negative,whole_record_average_flow_per_s,9.988685813863787e+16,9.988685813863787e+16,9.930825624149933e+16,1.007564720728695e+17,9.75359589807292e+16,1.0055266406100066e+17,9.75359589807292e+16,1.0055266406100066e+17,1.3059009650075268e+16,out_of_sample_90_percent_same_statistic,0.9751957801808251,8.954922946430987e+16,2.833248465259773e+17,elementary_charge_equivalents_per_s,supported_provisional_model_dependent,signed background-subtracted sum divided by full record duration,64,BMIM_nitrate_20kHz
BMIM_nitrate_20kHz,negative,record_total_charge_nC,160041.63070503026,160041.63070503026,159055.5213909238,161442.5658674789,156274.9516657058,161108.40432804395,156274.9516657058,161108.40432804395,20923.525263853826,out_of_sample_90_percent_same_statistic,0.9751957801808251,143478.3812296464,453951.3135385138,nC,supported_provisional_model_dependent,signed background-subtracted charge summed over the full record,64,BMIM_nitrate_20kHz
BMIM_nitrate_20kHz,positive,peak_halfcycle_charge_nC,404.28052071008915,404.28052071008915,389.30651497458064,410.8355336992891,384.2239948443121,410.05646090200764,384.2239948443121,410.05646090200764,76.1208648578595,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.793622362490527,357.22796843401636,1144.7988960377668,nC,supported_provisional_model_dependent,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",64,BMIM_nitrate_20kHz
BMIM_nitrate_20kHz,positive,peak_halfcycle_average_flow_per_s,4.9155612062033715e+17,4.9155612062033715e+17,4.7246020528048736e+17,5.006954377303561e+17,4.666571964559708e+17,4.99162428674817e+17,4.666571964559708e+17,4.99162428674817e+17,1.0976669645095288e+17,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.793622362490527,4.3645146917888525e+17,1.391774434962938e+18,elementary_charge_equivalents_per_s,supported_provisional_model_dependent,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",64,BMIM_nitrate_20kHz
BMIM_nitrate_20kHz,positive,whole_record_average_flow_per_s,1.0061495787091262e+17,1.0061495787091262e+17,9.922847815040082e+16,1.0159789998242266e+17,9.792519832916552e+16,1.0129434417686123e+17,9.792519832916552e+16,1.0129434417686123e+17,1.4515593829385352e+16,out_of_sample_90_percent_same_statistic,0.793622362490527,9.014158250733355e+16,2.8508002700600013e+17,elementary_charge_equivalents_per_s,supported_provisional_model_dependent,signed background-subtracted sum divided by full record duration,64,BMIM_nitrate_20kHz
BMIM_nitrate_20kHz,positive,record_total_charge_nC,161208.21328296475,161208.21328296475,158986.75512975917,162783.11173653678,156898.602276198,162296.74579173353,156898.602276198,162296.74579173353,23257.306820906946,out_of_sample_90_percent_same_statistic,0.793622362490527,144427.4665119867,456763.5147773856,nC,supported_provisional_model_dependent,signed background-subtracted charge summed over the full record,64,BMIM_nitrate_20kHz
argon_only_4kHz,negative,peak_halfcycle_charge_nC,,-88.73826481819088,,,,,-94.89190891226635,-84.13066964956892,7.874016,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.23821339950372208,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",64,argon_only_4kHz
argon_only_4kHz,negative,peak_halfcycle_average_flow_per_s,,-1.3083867804501757e+17,,,,,-1.407282005641968e+17,-1.252967582412039e+17,1.3176986415625172e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.23821339950372208,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",64,argon_only_4kHz
argon_only_4kHz,negative,whole_record_average_flow_per_s,,-6052919400308297.0,,,,,-6400888809219558.0,-5727783284106403.0,0.0,out_of_sample_90_percent_same_statistic,0.23821339950372208,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,64,argon_only_4kHz
argon_only_4kHz,negative,record_total_charge_nC,,-9698.163596325365,,,,,-10255.690308801686,-9177.221049851143,0.0,out_of_sample_90_percent_same_statistic,0.23821339950372208,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,64,argon_only_4kHz
argon_only_4kHz,positive,peak_halfcycle_charge_nC,,33.37181332031301,,,,,29.15743749384653,34.54868940958985,7.874016,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.28365384615384615,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",64,argon_only_4kHz
argon_only_4kHz,positive,peak_halfcycle_average_flow_per_s,,4.829625735548394e+16,,,,,4.249396745670298e+16,5.023915011158362e+16,1.169538627794929e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.28365384615384615,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",64,argon_only_4kHz
argon_only_4kHz,positive,whole_record_average_flow_per_s,,-4788482328308349.0,,,,,-5161077203720229.0,-4475305164297589.0,0.0,out_of_sample_90_percent_same_statistic,0.28365384615384615,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,64,argon_only_4kHz
argon_only_4kHz,positive,record_total_charge_nC,,-7672.245725869407,,,,,-8269.22807734642,-7170.46416058789,0.0,out_of_sample_90_percent_same_statistic,0.28365384615384615,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,64,argon_only_4kHz
argon_only_10kHz,negative,peak_halfcycle_charge_nC,,-143.3460404252179,,,,,-159.2090324424492,-132.75165663893483,7.874016,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.10224420365746659,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",64,argon_only_10kHz
