condition,condition_material,condition_burst_kHz,complete_scan,files_analyzed,monitor_qv_passive_valid,monitor_kcl_with_pearson_valid,monitor_Cprime_pF,monitor_Closs_pF,monitor_tan_delta,monitor_phase_abs_median_deg,monitor_Cprime_relative_span,pearson_to_monitor_gain_ratio,pearson_to_monitor_phase_error_deg,interpretation,route,off_qpp_fit_slope,off_qpp_fit_intercept,off_qpp_fit_r_squared,off_qpp_fit_n,on_qmax_fit_slope,on_qmax_fit_intercept,on_qmax_fit_r_squared,on_qmax_fit_n,Ccell_pF,Cd_effective_high_field_pF,Cd_global_pF,Cd_high_field_secant_pF,gas_charge_correction_factor,model_identifiable
BMIM_nitrate_20kHz,BMIM_nitrate,20,True,128,True,False,27.853206436138052,9.416831507286236,0.3378634149262113,18.668229379436333,0.03794691974964235,2.538983653588109,18.268406446135856,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",monitor,136.99556813919233,-20.217381857566792,0.9616499774546899,3,-29.51645863574417,496.1259520168606,0.5252712425784655,3,27.853206436138052,-17.562738232675756,-29.51645863574417,-17.562738232675756,,False
BMIM_nitrate_20kHz,BMIM_nitrate,20,True,128,True,False,27.853206436138052,9.416831507286236,0.3378634149262113,18.668229379436333,0.03794691974964235,2.538983653588109,18.268406446135856,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",current,78.25967799990683,-6.339835820744117,0.9987009177264472,3,173.78230016491895,-371.01501998993297,0.9778066821423755,3,74.587342815373,213.6894048325835,173.78230016491895,213.6894048325835,1.5362058745480325,True
argon_only_4kHz,argon_only,4,True,128,False,False,4.0695563931543415,-25.743714606249732,-6.3718370576707475,81.08056869797318,0.1886260083465061,2.8167290622749097,82.47818164539248,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",monitor,-50.20464395001923,8.06550050719258,0.9976782551208635,3,62.32512910463991,8.680028835197914,0.9968998776999695,3,4.0695563931543415,67.26316023024168,62.32512910463991,67.26316023024168,1.0643982325117212,True
argon_only_4kHz,argon_only,4,True,128,False,False,4.0695563931543415,-25.743714606249732,-6.3718370576707475,81.08056869797318,0.1886260083465061,2.8167290622749097,82.47818164539248,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",current,72.35885926744783,5.4363522132048745,0.9997202716519535,3,94.6449589937047,6.982662059176525,0.997890463733043,3,73.87388276094487,91.23710369029077,94.6449589937047,91.23710369029077,5.254618602248461,True
argon_only_10kHz,argon_only,10,True,128,False,False,12.142792930493098,-19.391762532284957,-1.6377559762943532,58.592112536853,0.04803928949721874,3.2210560900272567,59.16492952783034,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",monitor,28.01219771353402,10.161515339216466,0.9755690582512953,3,63.58697857441947,-17.612910360412855,0.9932555529823346,3,12.142792930493098,70.95087855521935,63.58697857441947,70.95087855521935,1.2064816904257054,True
argon_only_10kHz,argon_only,10,True,128,False,False,12.142792930493098,-19.391762532284957,-1.6377559762943532,58.592112536853,0.04803928949721874,3.2210560900272567,59.16492952783034,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",current,76.2009052136139,-1.7657416549223865,0.9970047097782405,3,89.16779292996786,6.978740322092306,0.9962607301520962,3,73.77466677865564,85.0609937520935,89.16779292996786,85.0609937520935,7.5366409242159005,True
argon_only_20kHz,argon_only,20,True,128,False,False,0.08209645773827315,21.765268541063744,86.5563665133792,89.78603006038495,3.04300278778935,3.3138377670840464,89.75855247662955,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",monitor,-1.4885389834254452,44.465540573139144,0.010673246858338925,3,86.51606077141358,-89.24024336887389,0.754245116181181,3,0.08209645773827315,82.88883250362397,86.51606077141358,82.88883250362397,1.0009914224573806,False
argon_only_20kHz,argon_only,20,True,128,False,False,0.08209645773827315,21.765268541063744,86.5563665133792,89.78603006038495,3.04300278778935,3.3138377670840464,89.75855247662955,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",current,71.50916317678923,6.804559451294203,0.9993432386583513,3,188.11642669790794,-413.0945818128684,0.9903541140323479,3,73.90594656053577,204.2606412543716,188.11642669790794,204.2606412543716,1.5669603747998393,True
pure_water_4kHz,pure_water,4,True,128,False,False,19.49092706951825,-4.391202150105835,-0.22820676850270366,12.855143209039682,0.024800679818542348,3.6876102775376163,14.113065757141442,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",monitor,17.42723472353595,5.39678574830828,0.999073472067069,3,-32.69154198772041,261.15471538161347,0.9565048150539507,3,19.49092706951825,-29.88033475300241,-32.69154198772041,-29.88033475300241,,False
pure_water_4kHz,pure_water,4,True,128,False,False,19.49092706951825,-4.391202150105835,-0.22820676850270366,12.855143209039682,0.024800679818542348,3.6876102775376163,14.113065757141442,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",current,76.08847815122235,-6.295295827194431,0.9991652017144144,3,123.57121511268055,-287.549333956844,0.996120850035009,3,74.2190868708617,130.01140646153988,123.57121511268055,130.01140646153988,2.3302742638300753,True
pure_water_10kHz,pure_water,10,False,32,False,False,,,,,,,,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",monitor,,,,0,,,,1,,,,,,False
pure_water_10kHz,pure_water,10,False,32,False,False,,,,,,,,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",current,,,,0,,,,1,,,,,,False
pure_water_20kHz,pure_water,20,False,16,False,False,,,,,,,,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",monitor,,,,0,,,,1,,,,,,False
pure_water_20kHz,pure_water,20,False,16,False,False,,,,,,,,"The monitor route is absolute only if Channel D wiring/value is independently known and the passive Q-V check passes. Pearson KCL failure means Channel C cannot validate Channel D; it may include upstream parasitic current or incorrect termination/scaling. The current route is therefore a provisional fallback, not an independent absolute calibration.",current,,,,0,,,,1,,,,,,False
