condition,polarity,metric,estimate,diagnostic_signed_estimate,repeat_ci_low,repeat_ci_high,analysis_ci_low,analysis_ci_high,diagnostic_analysis_ci_low,diagnostic_analysis_ci_high,passive_resolution_threshold,passive_resolution_basis,resolved_halfcycle_fraction,model_scale_sensitivity_low,model_scale_sensitivity_high,unit,evidence_tier,definition,n_files,scan_source
5mM_Mn_nitrate_in_water_10kHz,negative,whole_record_average_flow_per_s,,2.505809834797101e+16,,,,,2.5058098347971012e+16,2.5058098347971012e+16,0.0,resolved_fraction_only_no_same_frequency_holdout,0.3754226022174385,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_10kHz,negative,record_total_charge_nC,,40148.81433561719,,,,,40148.81433561719,40148.81433561719,0.0,resolved_fraction_only_no_same_frequency_holdout,0.3754226022174385,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_10kHz,positive,peak_halfcycle_charge_nC,,220.3972449929418,,,,,220.3972449929418,220.3972449929418,28.207727140681747,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.2750116301869673,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_10kHz,positive,peak_halfcycle_average_flow_per_s,,3.00305192043866e+17,,,,,3.00305192043866e+17,3.00305192043866e+17,5.821351600876002e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.2750116301869673,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_10kHz,positive,whole_record_average_flow_per_s,,2.468862555343555e+16,,,,,2.468862555343555e+16,2.468862555343555e+16,0.0,resolved_fraction_only_no_same_frequency_holdout,0.2750116301869673,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_10kHz,positive,record_total_charge_nC,,39556.83427296943,,,,,39556.83427296943,39556.83427296943,0.0,resolved_fraction_only_no_same_frequency_holdout,0.2750116301869673,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_20kHz,negative,peak_halfcycle_charge_nC,,300.0429655411482,,,,,300.0429655411482,300.0429655411482,23.81381079617775,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.9979899497487437,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_20kHz,negative,peak_halfcycle_average_flow_per_s,,4.2569698456178765e+17,,,,,4.2569698456178765e+17,4.2569698456178765e+17,3.6643058774875384e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.9979899497487437,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_20kHz,negative,whole_record_average_flow_per_s,,7.2024684661319e+16,,,,,7.2024684661319e+16,7.2024684661319e+16,1.17916042534779e+16,out_of_sample_90_percent_same_statistic,0.9979899497487437,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_20kHz,negative,record_total_charge_nC,,115400.04560173728,,,,,115400.04560173728,115400.04560173728,18892.851457352972,out_of_sample_90_percent_same_statistic,0.9979899497487437,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_20kHz,positive,peak_halfcycle_charge_nC,,87.91218994399762,,,,,87.91218994399762,87.91218994399762,28.207727140681747,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.9495064678495944,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_20kHz,positive,peak_halfcycle_average_flow_per_s,,1.1660805252136757e+17,,,,,1.1660805252136757e+17,1.1660805252136757e+17,3.895556706664236e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.9495064678495944,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_20kHz,positive,whole_record_average_flow_per_s,,7.101442519438303e+16,,,,,7.101442519438304e+16,7.101442519438304e+16,9362086441744410.0,out_of_sample_90_percent_same_statistic,0.9495064678495944,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,5mM_Mn_nitrate_in_water_20kHz
5mM_Mn_nitrate_in_water_20kHz,positive,record_total_charge_nC,,113781.37848639747,,,,,113781.37848639747,113781.37848639747,15000.207323155895,out_of_sample_90_percent_same_statistic,0.9495064678495944,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,5mM_Mn_nitrate_in_water_20kHz
BMIM_nitrate_4kHz,negative,peak_halfcycle_charge_nC,,330.4598238527169,,,,,330.4598238527169,330.4598238527169,28.937063490823643,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.12813266443701227,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,BMIM_nitrate_20kHz
BMIM_nitrate_4kHz,negative,peak_halfcycle_average_flow_per_s,,4.158907291624754e+17,,,,,4.158907291624754e+17,4.158907291624754e+17,3.675714236709363e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.12813266443701227,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,BMIM_nitrate_20kHz
BMIM_nitrate_4kHz,negative,whole_record_average_flow_per_s,,1.6915180618021698e+16,,,,,1.69151806180217e+16,1.69151806180217e+16,0.0,resolved_fraction_only_no_same_frequency_holdout,0.12813266443701227,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,BMIM_nitrate_20kHz
BMIM_nitrate_4kHz,negative,record_total_charge_nC,,27101.994598938643,,,,,27101.994598938647,27101.994598938647,0.0,resolved_fraction_only_no_same_frequency_holdout,0.12813266443701227,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,BMIM_nitrate_20kHz
BMIM_nitrate_4kHz,positive,peak_halfcycle_charge_nC,,95.49399406886053,,,,,95.49399406886053,95.49399406886053,40.3138243572825,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.14145977372721558,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,BMIM_nitrate_20kHz
BMIM_nitrate_4kHz,positive,peak_halfcycle_average_flow_per_s,,1.8650051051580547e+17,,,,,1.8650051051580547e+17,1.8650051051580547e+17,8.01878156519671e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.14145977372721558,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,BMIM_nitrate_20kHz
BMIM_nitrate_4kHz,positive,whole_record_average_flow_per_s,,1.5957976195957316e+16,,,,,1.5957976195957316e+16,1.5957976195957316e+16,0.0,resolved_fraction_only_no_same_frequency_holdout,0.14145977372721558,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,BMIM_nitrate_20kHz
BMIM_nitrate_4kHz,positive,record_total_charge_nC,,25568.333820334254,,,,,25568.333820334257,25568.333820334257,0.0,resolved_fraction_only_no_same_frequency_holdout,0.14145977372721558,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,BMIM_nitrate_20kHz
BMIM_nitrate_10kHz,negative,peak_halfcycle_charge_nC,,331.10375556239853,,,,,331.10375556239853,331.10375556239853,28.937063490823643,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.3290130236811644,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,BMIM_nitrate_20kHz
BMIM_nitrate_10kHz,negative,peak_halfcycle_average_flow_per_s,,4.339694126638657e+17,,,,,4.339694126638657e+17,4.339694126638657e+17,3.832769883253702e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.3290130236811644,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,BMIM_nitrate_20kHz
BMIM_nitrate_10kHz,negative,whole_record_average_flow_per_s,,3.66210364361855e+16,,,,,3.66210364361855e+16,3.66210364361855e+16,0.0,resolved_fraction_only_no_same_frequency_holdout,0.3290130236811644,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,BMIM_nitrate_20kHz
BMIM_nitrate_10kHz,negative,record_total_charge_nC,,58675.29020905674,,,,,58675.29020905674,58675.29020905674,0.0,resolved_fraction_only_no_same_frequency_holdout,0.3290130236811644,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,BMIM_nitrate_20kHz
BMIM_nitrate_10kHz,positive,peak_halfcycle_charge_nC,,339.9071827907941,,,,,339.9071827907941,339.9071827907941,40.3138243572825,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.21347868555356364,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,BMIM_nitrate_20kHz
BMIM_nitrate_10kHz,positive,peak_halfcycle_average_flow_per_s,,4.427027215484699e+17,,,,,4.427027215484699e+17,4.427027215484699e+17,8.067840528798032e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.21347868555356364,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,BMIM_nitrate_20kHz
BMIM_nitrate_10kHz,positive,whole_record_average_flow_per_s,,3.4069255197218324e+16,,,,,3.406925519721833e+16,3.406925519721833e+16,0.0,resolved_fraction_only_no_same_frequency_holdout,0.21347868555356364,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,BMIM_nitrate_20kHz
BMIM_nitrate_10kHz,positive,record_total_charge_nC,,54586.752054017525,,,,,54586.75205401753,54586.75205401753,0.0,resolved_fraction_only_no_same_frequency_holdout,0.21347868555356364,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,BMIM_nitrate_20kHz
BMIM_nitrate_20kHz,negative,peak_halfcycle_charge_nC,,381.46717294952646,,,,,381.46717294952646,381.46717294952646,28.937063490823643,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.8462584945452651,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,BMIM_nitrate_20kHz
BMIM_nitrate_20kHz,negative,peak_halfcycle_average_flow_per_s,,5.3503798928771034e+17,,,,,5.3503798928771034e+17,5.3503798928771034e+17,4.090563120241346e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.8462584945452651,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,BMIM_nitrate_20kHz
BMIM_nitrate_20kHz,negative,whole_record_average_flow_per_s,,6.92023180385356e+16,,,,,6.92023180385356e+16,6.92023180385356e+16,2809990066542202.0,out_of_sample_90_percent_same_statistic,0.8462584945452651,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,BMIM_nitrate_20kHz
BMIM_nitrate_20kHz,negative,record_total_charge_nC,,110877.96767101718,,,,,110877.96767101719,110877.96767101719,4502.2478521665835,out_of_sample_90_percent_same_statistic,0.8462584945452651,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,BMIM_nitrate_20kHz
BMIM_nitrate_20kHz,positive,peak_halfcycle_charge_nC,,234.5144304452735,,,,,234.5144304452735,234.5144304452735,40.3138243572825,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.565445672401352,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,BMIM_nitrate_20kHz
BMIM_nitrate_20kHz,positive,peak_halfcycle_average_flow_per_s,,3.122184534675368e+17,,,,,3.122184534675368e+17,3.122184534675368e+17,5.92325005704361e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.565445672401352,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,BMIM_nitrate_20kHz
BMIM_nitrate_20kHz,positive,whole_record_average_flow_per_s,,6.85070151333131e+16,,,,,6.85070151333131e+16,6.85070151333131e+16,1333684975105910.2,out_of_sample_90_percent_same_statistic,0.565445672401352,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,BMIM_nitrate_20kHz
BMIM_nitrate_20kHz,positive,record_total_charge_nC,,109763.93312373664,,,,,109763.93312373663,109763.93312373663,2136.868875848478,out_of_sample_90_percent_same_statistic,0.565445672401352,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,BMIM_nitrate_20kHz
argon_only_4kHz,negative,peak_halfcycle_charge_nC,,-60.11202775309861,,,,,-60.11202775309861,-60.11202775309861,7.874016,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.0,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,argon_only_4kHz
argon_only_4kHz,negative,peak_halfcycle_average_flow_per_s,,-8.888027759533376e+16,,,,,-8.888027759533376e+16,-8.888027759533376e+16,1.177172727877542e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.0,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,argon_only_4kHz
argon_only_4kHz,negative,whole_record_average_flow_per_s,,-2.2981138714042416e+16,,,,,-2.2981138714042416e+16,-2.2981138714042416e+16,0.0,out_of_sample_90_percent_same_statistic,0.0,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,argon_only_4kHz
argon_only_4kHz,negative,record_total_charge_nC,,-36821.04917294584,,,,,-36821.04917294584,-36821.04917294584,0.0,out_of_sample_90_percent_same_statistic,0.0,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,argon_only_4kHz
argon_only_4kHz,positive,peak_halfcycle_charge_nC,,27.4744202970723,,,,,27.4744202970723,27.4744202970723,21.495740849377693,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.018028846153846152,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,argon_only_4kHz
argon_only_4kHz,positive,peak_halfcycle_average_flow_per_s,,4.003718183832504e+16,,,,,4.003718183832504e+16,4.003718183832504e+16,2.5291015441476412e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.018028846153846152,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,argon_only_4kHz
argon_only_4kHz,positive,whole_record_average_flow_per_s,,-2.3086768867565576e+16,,,,,-2.308676886756557e+16,-2.308676886756557e+16,0.0,out_of_sample_90_percent_same_statistic,0.018028846153846152,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,argon_only_4kHz
argon_only_4kHz,positive,record_total_charge_nC,,-36990.29287863939,,,,,-36990.29287863938,-36990.29287863938,0.0,out_of_sample_90_percent_same_statistic,0.018028846153846152,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,argon_only_4kHz
argon_only_10kHz,negative,peak_halfcycle_charge_nC,,-101.66932036103076,,,,,-101.66932036103076,-101.66932036103076,7.874016,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.0,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,argon_only_10kHz
argon_only_10kHz,negative,peak_halfcycle_average_flow_per_s,,-1.527653906290172e+17,,,,,-1.527653906290172e+17,-1.527653906290172e+17,1.209817551398778e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.0,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,argon_only_10kHz
argon_only_10kHz,negative,whole_record_average_flow_per_s,,-4.768545489436738e+16,,,,,-4.768545489436738e+16,-4.768545489436738e+16,0.0,out_of_sample_90_percent_same_statistic,0.0,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,argon_only_10kHz
argon_only_10kHz,negative,record_total_charge_nC,,-76403.02342489708,,,,,-76403.02342489708,-76403.02342489708,0.0,out_of_sample_90_percent_same_statistic,0.0,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,argon_only_10kHz
argon_only_10kHz,positive,peak_halfcycle_charge_nC,,-19.900749427420727,,,,,-19.900749427420727,-19.900749427420727,7.874016,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.0,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,argon_only_10kHz
argon_only_10kHz,positive,peak_halfcycle_average_flow_per_s,,-4.454256113682846e+16,,,,,-4.454256113682846e+16,-4.454256113682846e+16,1.7941793463291264e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.0,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,argon_only_10kHz
argon_only_10kHz,positive,whole_record_average_flow_per_s,,-4.776858010145838e+16,,,,,-4.776858010145838e+16,-4.776858010145838e+16,0.0,out_of_sample_90_percent_same_statistic,0.0,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,argon_only_10kHz
argon_only_10kHz,positive,record_total_charge_nC,,-76536.20905054841,,,,,-76536.20905054841,-76536.20905054841,0.0,out_of_sample_90_percent_same_statistic,0.0,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,argon_only_10kHz
argon_only_20kHz,negative,peak_halfcycle_charge_nC,,410.4106841649235,,,,,410.4106841649235,410.4106841649235,7.874016,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,1.0,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,argon_only_20kHz
argon_only_20kHz,negative,peak_halfcycle_average_flow_per_s,,5.826785985980508e+17,,,,,5.826785985980508e+17,5.826785985980508e+17,1.128280320635005e+16,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,1.0,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,argon_only_20kHz
argon_only_20kHz,negative,whole_record_average_flow_per_s,,7.467568905183035e+16,,,,,7.467568905183037e+16,7.467568905183037e+16,0.0,out_of_sample_90_percent_same_statistic,1.0,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,argon_only_20kHz
argon_only_20kHz,negative,record_total_charge_nC,,119647.56197746276,,,,,119647.56197746276,119647.56197746276,0.0,out_of_sample_90_percent_same_statistic,1.0,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,argon_only_20kHz
argon_only_20kHz,positive,peak_halfcycle_charge_nC,,379.24754801433807,,,,,379.24754801433807,379.24754801433807,7.874016,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.9974261298125833,,,nC,not_reportable_passive_background_model_rejected,"within-capture p95 across maximum-amplitude carrier half-cycles selected once per duty burst, then median of capture-level p95 values across captures",2,argon_only_20kHz
argon_only_20kHz,positive,peak_halfcycle_average_flow_per_s,,4.4197577181674355e+17,,,,,4.4197577181674355e+17,4.4197577181674355e+17,9246304742903444.0,maximum_of_training_residual_and_out_of_sample_90_percent_statistic,0.9974261298125833,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,"within-capture p95 half-cycle-average net charge-equivalent rate across the same maximum-amplitude lobes, then median of capture-level p95 values; not instantaneous flux",2,argon_only_20kHz
argon_only_20kHz,positive,whole_record_average_flow_per_s,,6.594646719983379e+16,,,,,6.594646719983379e+16,6.594646719983379e+16,0.0,out_of_sample_90_percent_same_statistic,0.9974261298125833,,,elementary_charge_equivalents_per_s,not_reportable_passive_background_model_rejected,signed background-subtracted sum divided by full record duration,2,argon_only_20kHz
argon_only_20kHz,positive,record_total_charge_nC,,105661.34871564913,,,,,105661.34871564913,105661.34871564913,0.0,out_of_sample_90_percent_same_statistic,0.9974261298125833,,,nC,not_reportable_passive_background_model_rejected,signed background-subtracted charge summed over the full record,2,argon_only_20kHz
